txnId,userId,productId,quantity,unitPrice,timestamp
t1,u2526,p1,4,53.05,1755779847732
t2,u277,p9,5,298.90,1756733060732
t3,u2210,p7,3,161.76,1755503952732
t4,u1031,p4,2,218.75,1756237894732
t5,u1086,p8,2,135.34,1756413135732
t6,u2380,p8,3,198.59,1756601287732
t7,u1936,p4,3,280.09,1757155195732
t8,u2161,p4,4,145.82,1755772942732
t9,u2820,p4,5,266.53,1755577800732
t10,u3776,p2,5,199.82,1755859853732
t11,u3734,p1,2,258.44,1754928366732
t12,u1404,p1,1,98.47,1754736210732
t13,u4480,p8,4,14.79,1756053605732
t14,u3230,p7,4,200.18,1755205376732
t15,u30,p7,4,275.01,1755066369732
t16,u2847,p2,5,151.57,1755005248732
t17,u2796,p8,2,236.25,1756822746732
t18,u2653,p10,2,233.91,1755663020732
t19,u3173,p3,4,138.78,1756783114732
t20,u1628,p3,3,73.64,1755168919732
t21,u4804,p4,3,126.67,1754986574732
t22,u22,p4,3,46.40,1754996597732
t23,u4442,p2,5,205.98,1755371068732
t24,u4031,p7,1,115.98,1755703823732
t25,u1309,p10,2,229.98,1755354346732
t26,u4047,p2,3,101.33,1756107763732
t27,u1746,p1,5,179.40,1755786860732
t28,u1767,p2,4,98.14,1756295973732
t29,u1669,p10,4,198.25,1755744974732
t30,u4655,p9,5,282.34,1756150572732
t31,u2306,p1,4,193.30,1756194993732
t32,u1512,p2,4,228.56,1756189509732
t33,u988,p4,4,21.89,1754718947732
t34,u1588,p8,4,152.83,1756476842732
t35,u4231,p4,1,191.83,1754924264732
t36,u4194,p2,2,196.66,1755393107732
t37,u3460,p2,1,158.20,1755494537732
t38,u1065,p2,4,14.76,1755947005732
t39,u1341,p6,3,104.77,1755020564732
t40,u2644,p2,1,164.16,1755727510732
t41,u2867,p8,5,257.76,1756031533732
t42,u3620,p9,1,295.13,1756291470732
t43,u3994,p8,3,68.60,1755046305732
t44,u914,p10,5,71.72,1755806719732
t45,u3675,p7,3,70.52,1755890109732
t46,u388,p5,1,18.42,1754768347732
t47,u1782,p5,5,193.13,1755935366732
t48,u37,p3,4,298.48,1757149656732
t49,u2795,p8,4,276.97,1756847345732
t50,u960,p7,2,193.29,1755714834732
t51,u4330,p5,3,146.29,1755096646732
t52,u1681,p3,3,237.43,1756463050732
t53,u3381,p7,5,70.26,1755256457732
t54,u1530,p2,4,86.37,1755880458732
t55,u4946,p6,4,107.26,1756654550732
t56,u4433,p8,3,150.16,1756579402732
t57,u4547,p9,5,60.43,1754898260732
t58,u3979,p1,4,282.18,1755663519732
t59,u2432,p9,2,215.88,1756189015732
t60,u3614,p9,4,299.53,1755281502732
t61,u2776,p10,4,298.82,1755076905732
t62,u4712,p9,5,158.80,1756355944732
t63,u101,p7,5,184.46,1757167298732
t64,u3653,p9,2,190.26,1755507151732
t65,u1319,p2,3,35.89,1757168055732
t66,u2282,p8,5,246.41,1755260885732
t67,u2175,p10,5,113.22,1756838753732
t68,u2807,p7,5,222.34,1757158058732
t69,u2099,p1,1,230.73,1757016887732
t70,u1717,p9,1,272.64,1756630951732
t71,u722,p1,3,39.38,1755764278732
